-	5_8S_rRNA-shuffle	GNRA	0.06	43.10	1.59
-	5S_rRNA-shuffle	Domain-V	0.01	76.70	0.13
-	5S_rRNA-shuffle	GNRA	0.03	137.40	0.31
-	5S_rRNA-shuffle	k-turn-1	0.01	65.20	0.15
-	5S_rRNA-shuffle	T-loop	0.03	164.10	0.28
-	5S_rRNA-shuffle	UNCG	0.03	137.70	0.28
-	5S_rRNA-shuffle	U-turn	0.01	76.70	0.14
-	6C-shuffle	GNRA	0.12	17.20	1.01
-	6S-Flavo-shuffle	Domain-V	0.04	23.30	0.36
-	6S-Flavo-shuffle	Terminator1	0.04	21.80	0.24
-	6S-shuffle	CsrA_binding	0.01	23.00	0.10
-	6S-shuffle	GNRA	0.07	87.20	0.53
-	6S-shuffle	k-turn-1	0.03	46.90	0.29
-	6S-shuffle	T-loop	0.02	39.30	0.17
-	6S-shuffle	UNCG	0.07	92.80	0.62
-	6S-shuffle	U-turn	0.02	31.90	0.23
-	7SK-shuffle	UNCG	0.19	43.10	1.93
-	ACA64-shuffle	k-turn-1	0.19	57.30	1.66
-	ACA64-shuffle	T-loop	0.07	18.80	0.45
-	ACEA_U3-shuffle	Domain-V	0.08	21.00	0.42
-	Acido-Lenti-1-shuffle	UNCG	0.09	49.60	0.75
-	Actino-pnp-shuffle	GNRA	0.06	38.00	0.77
-	Actino-pnp-shuffle	k-turn-1	0.03	21.50	0.29
-	AdoCbl-variant-shuffle	CsrA_binding	0.08	114.70	0.76
-	AdoCbl-variant-shuffle	UNCG	0.02	19.40	0.17
-	Alpha_RBS-shuffle	Terminator1	0.05	22.40	0.59
-	alpha_tmRNA-shuffle	GNRA	0.21	203.60	1.99
-	alpha_tmRNA-shuffle	HuR_binding	0.02	27.20	0.46
-	alpha_tmRNA-shuffle	k-turn-1	0.09	90.60	0.96
-	alpha_tmRNA-shuffle	T-loop	0.04	39.40	0.31
-	alpha_tmRNA-shuffle	UMAC	0.02	25.80	0.20
-	alpha_tmRNA-shuffle	UNCG	0.09	83.80	0.89
-	alpha_tmRNA-shuffle	U-turn	0.03	36.20	0.31
-	Archaea_SRP-shuffle	GNRA	0.57	329.00	7.58
-	Archaea_SRP-shuffle	k-turn-1	0.30	186.70	4.31
-	Archaea_SRP-shuffle	T-loop	0.15	76.10	1.66
-	Archaea_SRP-shuffle	UNCG	0.15	65.60	1.71
-	Archaea_SRP-shuffle	U-turn	0.07	32.60	0.71
-	Arthropod_7SK-shuffle	GNRA	0.21	30.50	2.42
-	Arthropod_7SK-shuffle	Terminator2	0.14	21.90	1.59
-	Arthropod_7SK-shuffle	UNCG	0.29	40.90	3.53
-	ASdes-shuffle	UNCG	0.08	20.20	1.04
-	ASpks-shuffle	GNRA	0.23	145.20	1.88
-	ASpks-shuffle	k-turn-1	0.03	20.10	0.16
-	ASpks-shuffle	T-loop	0.03	20.40	0.23
-	ASpks-shuffle	UMAC	0.03	35.20	0.49
-	ASpks-shuffle	UNCG	0.16	126.30	1.30
-	ASpks-shuffle	VTS1_binding	0.03	26.40	0.50
-	asX1-shuffle	GNRA	0.75	23.40	6.00
-	asX4-shuffle	GNRA	0.75	21.80	4.83
-	ATPC-shuffle	GNRA	0.11	31.00	0.88
-	ATPC-shuffle	UNCG	0.11	41.50	1.45
-	Bacillaceae-1-shuffle	Domain-V	0.04	24.60	0.22
-	Bacillaceae-1-shuffle	GNRA	0.07	37.90	0.94
-	Bacteria_large_SRP-shuffle	CsrA_binding	0.10	36.40	1.21
-	Bacteria_large_SRP-shuffle	GNRA	0.10	25.00	0.97
-	Bacteria_large_SRP-shuffle	U-turn	0.06	22.40	0.47
-	Bacteria_small_SRP-shuffle	Domain-V	0.02	31.70	0.26
-	Bacteria_small_SRP-shuffle	GNRA	0.07	91.40	0.65
-	Bacteria_small_SRP-shuffle	k-turn-1	0.05	82.00	0.55
-	Bacteria_small_SRP-shuffle	T-loop	0.01	20.10	0.16
-	Bacteria_small_SRP-shuffle	U-turn	0.01	22.30	0.22
-	beta_tmRNA-shuffle	GNRA	0.50	24.70	4.68
-	C4-shuffle	GNRA	0.12	365.80	0.96
-	C4-shuffle	k-turn-1	0.05	175.00	0.41
-	C4-shuffle	T-loop	0.02	72.20	0.24
-	C4-shuffle	UNCG	0.04	126.10	0.34
-	C4-shuffle	U-turn	0.02	67.00	0.20
-	CC3510-shuffle	k-turn-1	1.00	22.30	11.15
-	CC3552-shuffle	GNRA	1.00	17.50	8.75
-	c-di-GMP-II-shuffle	GNRA	0.07	36.70	0.94
-	c-di-GMP-I-shuffle	GNRA	0.03	23.10	0.24
-	c-di-GMP-I-shuffle	UNCG	0.02	22.30	0.33
-	CDKN2B-AS_3-shuffle	CRC_binding	0.18	47.00	2.46
-	ceN105-shuffle	GNRA	0.67	19.80	6.71
-	ceN46-shuffle	T-loop	1.00	22.00	11.00
-	ceN93-shuffle	UNCG	0.75	24.80	6.26
-	Clostridiales-1-shuffle	CsrA_binding	0.02	23.10	0.24
-	Clostridiales-1-shuffle	GNRA	0.08	104.90	0.95
-	Clostridiales-1-shuffle	k-turn-1	0.03	44.10	0.31
-	Clostridiales-1-shuffle	T-loop	0.03	42.30	0.43
-	Clostridiales-1-shuffle	UNCG	0.02	19.40	0.20
-	Clostridiales-1-shuffle	U-turn	0.02	22.30	0.25
-	Cobalamin-shuffle	CsrA_binding	0.01	79.20	0.13
-	Cobalamin-shuffle	Domain-V	0.02	82.90	0.14
-	Cobalamin-shuffle	GNRA	0.32	1487.70	3.35
-	Cobalamin-shuffle	k-turn-1	0.13	616.40	1.36
-	Cobalamin-shuffle	T-loop	0.04	173.10	0.42
-	Cobalamin-shuffle	UNCG	0.04	171.10	0.40
-	Cobalamin-shuffle	U-turn	0.04	197.50	0.48
-	crcB-shuffle	GNRA	0.02	54.40	0.21
-	crcB-shuffle	T-loop	0.02	40.70	0.20
-	crcB-shuffle	UNCG	0.01	36.70	0.15
-	CrcZ-shuffle	GNRA	0.11	15.20	1.08
-	cspA-shuffle	GNRA	0.17	17.00	1.48
-	CsrB-shuffle	GNRA	0.09	15.70	1.04
-	CsrB-shuffle	k-turn-1	0.13	29.70	0.97
-	ctRNA_pND324-shuffle	Terminator2	0.08	21.00	1.23
-	Cyano-1-shuffle	GNRA	0.01	17.30	0.13
-	Cyano-2-shuffle	GNRA	0.11	47.80	1.71
-	Cyano-2-shuffle	k-turn-1	0.11	56.40	0.92
-	Cyano-2-shuffle	T-loop	0.07	30.90	0.56
-	Cyano-2-shuffle	UNCG	0.17	73.80	1.20
-	Cyano-2-shuffle	U-turn	0.07	30.90	0.73
-	DLEU2_1-shuffle	HuR_binding	0.09	28.60	0.99
-	DLEU2_6-shuffle	GNRA	0.07	18.60	0.68
-	DLEU2_6-shuffle	T-loop	0.07	21.60	0.59
-	DLEU2_6-shuffle	UNCG	0.10	25.40	0.91
-	DLG2-AS1_1-shuffle	Terminator2	0.33	83.40	3.33
-	DLG2-AS1_2-shuffle	UNCG	0.09	19.30	0.92
-	Downstream-peptide-shuffle	T-loop	0.04	91.80	0.47
-	Downstream-peptide-shuffle	U-turn	0.01	44.30	0.23
-	EGOT-shuffle	GNRA	0.20	25.60	1.58
-	enod40-shuffle	UNCG	0.07	18.80	0.53
-	Entero_5_CRE-shuffle	Terminator2	0.03	22.10	0.35
-	Entero_OriR-shuffle	Terminator2	0.09	35.80	0.96
-	Entero_OriR-shuffle	U-turn	0.25	100.30	3.38
-	Evf1_1-shuffle	UNCG	0.46	61.40	4.13
-	F6-shuffle	GNRA	0.31	39.60	2.55
-	ffh-shuffle	UNCG	0.08	60.20	0.60
-	Flavivirus_DB-shuffle	GNRA	0.09	31.50	0.72
-	Flavo-1-shuffle	GNRA	0.04	73.80	0.37
-	Flavo-1-shuffle	k-turn-1	0.04	101.20	0.36
-	FMN-shuffle	GNRA	0.07	85.90	0.65
-	FMN-shuffle	k-turn-1	0.05	75.70	0.58
-	FMN-shuffle	Terminator2	0.01	21.00	0.14
-	FMR1-AS1_2-shuffle	GNRA	0.38	62.70	4.35
-	Fungi_SRP-shuffle	GNRA	0.30	106.90	2.58
-	Fungi_SRP-shuffle	k-turn-1	0.07	29.40	0.93
-	Fungi_SRP-shuffle	T-loop	0.05	19.90	0.30
-	Fungi_SRP-shuffle	UNCG	0.15	53.20	1.42
-	Fungi_SRP-shuffle	U-turn	0.05	20.50	0.51
-	Fungi_U3-shuffle	GNRA	0.06	22.10	0.45
-	Fungi_U3-shuffle	UNCG	0.09	40.10	0.85
-	gabT-shuffle	UNCG	0.20	22.90	1.45
-	GcvB-shuffle	Terminator1	0.11	21.20	1.51
-	GcvB-shuffle	Terminator2	0.11	23.70	1.70
-	GlmZ_SraJ-shuffle	Domain-V	0.25	31.20	3.62
-	glnA-shuffle	GNRA	0.03	117.90	0.25
-	Glycine-shuffle	GNRA	0.07	23.70	0.58
-	Glycine-shuffle	T-loop	0.05	22.00	0.55
-	Glycine-shuffle	UNCG	0.07	30.10	0.77
-	GNAS-AS1_4-shuffle	UNCG	0.18	42.20	3.42
-	GOLLD-shuffle	GNRA	0.15	40.50	1.52
-	GOLLD-shuffle	k-turn-1	0.09	28.80	1.26
-	greA-shuffle	GNRA	0.26	50.00	3.20
-	group-II-D1D4-1-shuffle	GNRA	0.05	83.50	0.34
-	group-II-D1D4-1-shuffle	k-turn-1	0.03	52.40	0.30
-	group-II-D1D4-1-shuffle	T-loop	0.02	41.70	0.25
-	group-II-D1D4-1-shuffle	U-turn	0.03	73.00	0.25
-	group-II-D1D4-2-shuffle	GNRA	0.07	75.30	0.64
-	group-II-D1D4-2-shuffle	k-turn-1	0.04	50.20	0.38
-	group-II-D1D4-2-shuffle	T-loop	0.03	32.50	0.28
-	group-II-D1D4-2-shuffle	UNCG	0.02	20.80	0.21
-	group-II-D1D4-2-shuffle	U-turn	0.02	25.20	0.27
-	group-II-D1D4-3-shuffle	GNRA	0.15	565.10	1.32
-	group-II-D1D4-3-shuffle	k-turn-1	0.05	198.90	0.44
-	group-II-D1D4-3-shuffle	T-loop	0.02	79.10	0.22
-	group-II-D1D4-3-shuffle	UNCG	0.01	44.00	0.13
-	group-II-D1D4-3-shuffle	U-turn	0.01	63.20	0.22
-	group-II-D1D4-4-shuffle	GNRA	0.11	89.90	1.21
-	group-II-D1D4-4-shuffle	k-turn-1	0.08	71.70	0.89
-	group-II-D1D4-4-shuffle	RBS_E_coli	0.04	46.80	0.38
-	group-II-D1D4-4-shuffle	T-loop	0.02	21.20	0.22
-	group-II-D1D4-4-shuffle	U-turn	0.05	45.60	0.47
-	group-II-D1D4-5-shuffle	CsrA_binding	0.02	26.00	0.21
-	group-II-D1D4-5-shuffle	GNRA	0.04	40.60	0.29
-	group-II-D1D4-5-shuffle	k-turn-1	0.02	20.20	0.17
-	group-II-D1D4-5-shuffle	U-turn	0.03	31.70	0.19
-	group-II-D1D4-6-shuffle	CRC_binding	0.04	80.80	0.50
-	group-II-D1D4-6-shuffle	GNRA	0.20	252.30	1.79
-	group-II-D1D4-6-shuffle	k-turn-1	0.11	173.50	1.18
-	group-II-D1D4-6-shuffle	pK-turn	0.02	44.50	0.33
-	group-II-D1D4-6-shuffle	T-loop	0.04	64.50	0.42
-	group-II-D1D4-6-shuffle	UNCG	0.02	29.00	0.18
-	group-II-D1D4-6-shuffle	U-turn	0.05	84.50	0.59
-	group-II-D1D4-7-shuffle	GNRA	0.06	89.50	0.56
-	group-II-D1D4-7-shuffle	k-turn-1	0.03	49.40	0.28
-	group-II-D1D4-7-shuffle	T-loop	0.03	58.50	0.29
-	group-II-D1D4-7-shuffle	UNCG	0.02	36.40	0.21
-	group-II-D1D4-7-shuffle	U-turn	0.02	48.90	0.38
-	Gut-1-shuffle	k-turn-1	0.08	21.00	0.72
-	H19_1-shuffle	GNRA	0.58	67.60	4.60
-	Hammerhead_II-shuffle	GNRA	0.14	29.00	0.80
-	Hammerhead_II-shuffle	k-turn-1	0.14	33.20	1.86
-	Hammerhead_II-shuffle	UNCG	0.14	25.20	0.70
-	Hammerhead_II-shuffle	U-turn	0.10	20.90	1.01
-	HCV_ARF_SL-shuffle	GNRA	0.36	102.20	2.70
-	HCV_ARF_SL-shuffle	k-turn-1	0.25	89.10	2.42
-	HCV_SLVII-shuffle	GNRA	0.51	663.20	5.66
-	HCV_SLVII-shuffle	U-turn	0.21	261.00	2.62
-	HEARO-shuffle	GNRA	0.03	15.80	0.25
-	HEARO-shuffle	UNCG	0.05	33.50	0.54
-	HepC_CRE-shuffle	T-loop	0.24	43.40	3.01
-	HepC_CRE-shuffle	U-turn	0.29	65.70	3.64
-	HIV-1_DIS-shuffle	GNRA	0.05	17.90	0.46
-	HOTAIRM1_1-shuffle	k-turn-1	0.17	19.10	2.05
-	HOTTIP_2-shuffle	GNRA	0.08	15.50	0.89
-	HOTTIP_2-shuffle	T-loop	0.08	23.30	1.24
-	HOTTIP_2-shuffle	UNCG	0.21	53.20	2.10
