   RF01065           23S-methyl          Terminator2           0.25           53.30           3.28
   RF00002            5_8S_rRNA                 GNRA           0.09           39.00           0.58
   RF00002            5_8S_rRNA             k-turn-1           0.09           48.10           0.51
   RF00002            5_8S_rRNA               T-loop           0.08           38.30           0.51
   RF00002            5_8S_rRNA                 UMAC           0.06           38.50           0.67
   RF00002            5_8S_rRNA                 UNCG           0.09           60.80           1.31
   RF00002            5_8S_rRNA               U-turn           0.04           24.10           0.45
   RF00001              5S_rRNA             Domain-V           0.01           78.40           0.14
   RF00001              5S_rRNA                 GNRA           0.39           2007.70           4.04
   RF00001              5S_rRNA             k-turn-1           0.03           170.40           0.38
   RF00001              5S_rRNA       sarcin-ricin-2           0.07           666.30           0.93
   RF00001              5S_rRNA               T-loop           0.02           121.20           0.22
   RF00001              5S_rRNA             twist_up           0.79           11266.40           20.01
   RF01066                   6C                 GNRA           0.47           68.90           4.12
   RF01066                   6C          Terminator1           0.18           33.50           2.43
   RF01066                   6C                 UMAC           0.12           27.00           1.82
   RF01066                   6C                 UNCG           0.18           29.10           1.63
   RF00013                   6S             Domain-V           0.01           23.10           0.12
   RF01685             6S-Flavo          Terminator1           0.04           20.70           0.28
   RF00013                   6S                 GNRA           0.21           285.20           1.80
   RF00013                   6S             k-turn-1           0.02           28.60           0.20
   RF00013                   6S          Terminator1           0.01           24.70           0.14
   RF00013                   6S               T-loop           0.09           158.80           0.94
   RF00013                   6S                 UNCG           0.04           51.70           0.40
   RF00013                   6S               U-turn           0.01           20.20           0.10
   RF00100                  7SK                 GNRA           0.14           29.90           2.17
   RF00100                  7SK             k-turn-1           0.14           29.10           1.35
   RF01225                ACA64                 GNRA           0.15           32.00           0.85
   RF01225                ACA64                 UNCG           0.11           25.70           0.86
   RF01225                ACA64               U-turn           0.07           20.80           0.79
   RF01495                 ACAT                 GNRA           0.29           15.00           1.52
   RF01848              ACEA_U3                 GNRA           0.46           123.00           4.30
   RF01848              ACEA_U3          HuR_binding           0.21           61.80           2.49
   RF01848              ACEA_U3             k-turn-1           0.17           38.40           1.03
   RF01848              ACEA_U3          Terminator2           0.17           48.00           1.59
   RF01848              ACEA_U3                 UNCG           0.25           79.00           3.07
   RF01848              ACEA_U3               U-turn           0.12           31.50           0.88
   RF01686              Acido-1                 GNRA           1.00           43.90           15.94
   RF01687        Acido-Lenti-1                 GNRA           0.28           113.20           2.44
   RF01687        Acido-Lenti-1               T-loop           0.28           164.60           3.95
   RF01687        Acido-Lenti-1                 UMAC           0.41           386.20           6.69
   RF01687        Acido-Lenti-1                 UNCG           0.33           161.30           2.80
   RF01687        Acido-Lenti-1               U-turn           0.11           96.90           2.97
   RF01688           Actino-pnp                 GNRA           0.07           50.20           0.79
   RF01688           Actino-pnp             k-turn-1           0.04           33.20           0.42
   RF01688           Actino-pnp          Terminator2           0.04           34.70           0.40
   RF01688           Actino-pnp               U-turn           0.03           22.60           0.29
   RF01689       AdoCbl-variant                 GNRA           0.02           30.40           0.20
   RF01689       AdoCbl-variant             k-turn-1           0.02           25.00           0.17
   RF01496              Afu_182                 UNCG           0.22           49.40           2.79
   RF01509              Afu_300                 UNCG           0.60           70.60           6.98
   RF01512              Afu_309                 UNCG           0.30           52.90           5.89
   RF01497                 ALIL             k-turn-1           0.09           18.90           0.88
   RF00140            Alpha_RBS          Terminator2           0.19           79.00           2.48
   RF01849          alpha_tmRNA                 GNRA           0.69           1491.80           13.67
   RF01849          alpha_tmRNA             k-turn-1           0.11           116.50           0.96
   RF01849          alpha_tmRNA          Terminator1           0.05           60.00           0.55
   RF01849          alpha_tmRNA          Terminator2           0.05           59.80           0.58
   RF01849          alpha_tmRNA               T-loop           0.23           224.40           2.39
   RF01849          alpha_tmRNA                 UMAC           0.03           42.10           0.39
   RF01849          alpha_tmRNA                 UNCG           0.35           388.00           3.77
   RF01849          alpha_tmRNA               U-turn           0.10           128.70           1.23
   RF01857          Archaea_SRP                 GNRA           0.85           836.10           18.63
   RF01857          Archaea_SRP             k-turn-1           0.28           165.40           4.26
   RF01857          Archaea_SRP              pK-turn           0.07           45.60           0.43
   RF01857          Archaea_SRP         SRP_S_domain           1.00           2100.90           45.81
   RF01857          Archaea_SRP          Terminator1           0.07           30.80           0.66
   RF01857          Archaea_SRP          Terminator2           0.04           20.70           0.41
   RF01857          Archaea_SRP               T-loop           0.07           29.10           0.66
   RF01857          Archaea_SRP                 UNCG           0.28           121.20           2.49
   RF01857          Archaea_SRP               U-turn           0.11           60.80           1.02
   RF01052        Arthropod_7SK                 GNRA           0.14           14.40           0.87
   RF01052        Arthropod_7SK             k-turn-1           0.14           22.80           1.37
   RF01732                  asd         CsrA_binding           0.27           35.10           2.02
   RF01732                  asd                 GNRA           0.36           46.50           3.08
   RF01732                  asd          HuR_binding           0.27           38.10           2.20
   RF01732                  asd          Terminator1           0.27           52.00           2.96
   RF01732                  asd          Terminator2           0.18           20.70           1.11
   RF01732                  asd               T-loop           0.27           31.50           2.35
   RF01732                  asd                 UNCG           0.64           80.70           6.54
   RF01782                ASpks                 GNRA           0.09           53.60           0.63
   RF01782                ASpks               T-loop           0.04           28.60           0.47
   RF01782                ASpks                 UNCG           0.04           26.20           0.35
   RF02235                 asX1                 GNRA           0.75           44.30           10.70
   RF02235                 asX1         VTS1_binding           0.50           31.30           7.28
   RF02238                 asX4         CsrA_binding           1.00           75.50           20.09
   RF02238                 asX4                 GNRA           0.50           15.90           3.73
   RF01733                 atoC                 GNRA           0.62           47.90           5.07
   RF01067                 ATPC               T-loop           0.08           28.70           0.74
   RF01067                 ATPC                 UNCG           0.08           36.90           1.65
   RF01690 Bacillaceae-1-revcomp         CsrA_binding           0.99           2377.60           23.21
   RF01690 Bacillaceae-1-revcomp                 GNRA           0.06           43.20           0.12
   RF01690 Bacillaceae-1-revcomp               U-turn           0.05           62.60           0.99
   RF01690        Bacillaceae-1               U-turn           0.04           20.00           0.33
   RF01691     Bacillus-plasmid                 GNRA           0.22           43.00           2.05
   RF01854   Bacteria_large_SRP                 GNRA           0.52           122.50           4.48
   RF01854   Bacteria_large_SRP             k-turn-1           0.13           39.70           0.89
   RF01854   Bacteria_large_SRP         SRP_S_domain           0.94           1488.90           48.79
   RF01854   Bacteria_large_SRP                 UNCG           0.10           28.10           0.70
   RF00169   Bacteria_small_SRP                 GNRA           0.35           416.20           2.56
   RF00169   Bacteria_small_SRP         SRP_S_domain           1.00           6053.20           41.50
   RF00169   Bacteria_small_SRP                 UNCG           0.02           31.10           0.20
   RF01693      Bacteroidales-1                 GNRA           0.10           15.70           0.81
   RF01693      Bacteroidales-1                 UNCG           0.71           170.90           6.83
   RF01694        Bacteroides-1                 UNCG           0.18           25.00           1.40
   RF01692        Bacteroid-trp         AUF1_binding           0.07           34.40           1.33
   RF00727               bantam          Terminator2           0.30           35.50           3.31
   RF00727               bantam                 UNCG           0.20           16.20           1.74
   RF01884             BC040587                 GNRA           0.24           30.50           1.30
   RF02278 Betaproteobacteria_toxic_sRNA                 CUYG           0.04           40.30           0.97
   RF02278 Betaproteobacteria_toxic_sRNA                 GNRA           0.33           177.70           4.07
   RF02278 Betaproteobacteria_toxic_sRNA             k-turn-1           0.04           19.00           0.33
   RF02278 Betaproteobacteria_toxic_sRNA          Terminator1           0.76           552.10           10.78
   RF02278 Betaproteobacteria_toxic_sRNA          Terminator2           0.92           706.50           14.14
   RF02278 Betaproteobacteria_toxic_sRNA               T-loop           0.08           42.40           1.07
   RF02278 Betaproteobacteria_toxic_sRNA                 UMAC           0.14           101.60           2.19
   RF02278 Betaproteobacteria_toxic_sRNA                 UNCG           0.16           73.20           1.30
   RF02278 Betaproteobacteria_toxic_sRNA               U-turn           0.16           97.40           1.93
   RF02278 Betaproteobacteria_toxic_sRNA         VTS1_binding           0.04           25.60           0.52
   RF01850           beta_tmRNA                 GNRA           0.33           24.00           5.92
   RF01850           beta_tmRNA               T-loop           0.50           30.10           5.91
   RF01850           beta_tmRNA                 UNCG           0.67           77.30           14.08
   RF01850           beta_tmRNA               U-turn           0.33           22.80           3.67
   RF00551             bicoid_3                 UNCG           0.29           20.40           2.68
   RF01410                 BsrC          CRC_binding           0.11           27.00           1.35
   RF01411                 BsrF                 GNRA           0.33           15.50           3.02
   RF01411                 BsrF          Terminator1           0.50           39.60           8.13
   RF01411                 BsrF          Terminator2           0.33           21.70           4.59
   RF01411                 BsrF                 UNCG           0.33           38.20           6.96
   RF01412                 BsrG                 GNRA           0.67           45.00           7.73
   RF01412                 BsrG             k-turn-1           0.33           21.20           2.75
   RF01412                 BsrG          Terminator1           0.50           38.30           6.86
